chr	start	end	log2_TNratio_corrected
chr1	1000001	1500000	NA
chr1	1500001	2000000	0.00690249361498926
chr1	2000001	2500000	0.0346191348696647
chr1	2500001	3000000	NA
chr1	3000001	3500000	-0.0629072415741053
chr1	3500001	4000000	-0.0131774153887729
chr1	4000001	4500000	0.108550046373474
chr1	4500001	5000000	0.0380837229159994
chr1	5000001	5500000	0.0892486921884371
chr1	5500001	6000000	-0.00992006208892518
chr1	6000001	6500000	-0.0641571210110131
chr1	6500001	7000000	0.0334673127080062
chr1	7000001	7500000	-0.0329089218303058
chr1	7500001	8000000	-0.031518998042846
chr1	8000001	8500000	0.0567322318631946
chr1	8500001	9000000	-0.00628975240113518
chr1	9000001	9500000	0.0069602817722185
chr1	9500001	10000000	0.069475816797857
chr1	10000001	10500000	-0.024265134188093
chr1	10500001	11000000	0.0289105907590141
chr1	11000001	11500000	0.0823907750392438
chr1	11500001	12000000	0.00531800838226406
chr1	12000001	12500000	0.0884141880623364
chr1	13500001	14000000	0.0380922006362925
chr1	14000001	14500000	-0.0126626483821808
chr1	14500001	15000000	0.0333350543378707
chr1	15000001	15500000	0.0279399337414281
chr1	15500001	16000000	0.0362958772762142
chr1	16000001	16500000	0.00806378011578787
chr1	17000001	17500000	0.167178418833794
chr1	17500001	18000000	-0.0413306988858809
chr1	18000001	18500000	0.0643197371608075
chr1	18500001	19000000	0.0785613137508124
chr1	19000001	19500000	0.0850303569057834
chr1	19500001	20000000	-0.0452479986234973
chr1	20000001	20500000	0.0381786777223208
chr1	20500001	21000000	-0.0507043513547844
chr1	21000001	21500000	0.00833254197278489
chr1	21500001	22000000	-0.0315918528423381
chr1	22000001	22500000	-0.0129125066914137
chr1	22500001	23000000	-0.178193427250376
chr1	23000001	23500000	-0.0707576410614413
chr1	23500001	24000000	-0.0113402862627686
chr1	24000001	24500000	-0.035364052992843
chr1	24500001	25000000	-0.10688854433893
chr1	25000001	25500000	-0.283387506496879
chr1	25500001	26000000	-0.0358481273161917
chr1	26000001	26500000	-0.0730322100233987
chr1	26500001	27000000	0.0263968505943761
chr1	27000001	27500000	0.0133184592798491
chr1	27500001	28000000	0.0158967772098249
chr1	28000001	28500000	0.0208755484854062
chr1	28500001	29000000	-0.0762955045696527
chr1	29000001	29500000	-0.0178939863252072
chr1	29500001	30000000	NA
chr1	30000001	30500000	-0.0767950360209135
chr1	30500001	31000000	-0.0710831288742913
chr1	31000001	31500000	-0.0548050402664016
chr1	31500001	32000000	-0.0670825958127468
chr1	32000001	32500000	-0.0289344373397081
chr1	32500001	33000000	0.016056394762547
chr1	33000001	33500000	-0.00443094092448096
chr1	33500001	34000000	-0.0723566506156605
chr1	34000001	34500000	-0.0810718077004454
chr1	34500001	35000000	-0.097032492490047
chr1	35000001	35500000	0.00576822357436724
chr1	35500001	36000000	0.0347359833813442
chr1	36000001	36500000	-0.0469258508975693
chr1	36500001	37000000	-0.0441927808795637
chr1	37000001	37500000	-0.0432459281102867
chr1	37500001	38000000	-0.00881870382015162
chr1	38000001	38500000	-0.0578041734573552
chr1	38500001	39000000	-0.056685477429567
chr1	39000001	39500000	-0.0861114284630877
chr1	39500001	40000000	-0.0296383577403643
chr1	40000001	40500000	0.0187293717283907
chr1	40500001	41000000	-0.0193068857129886
chr1	41000001	41500000	0.0255396452626376
chr1	41500001	42000000	0.0216414165345169
chr1	42000001	42500000	-0.0636851967927079
chr1	42500001	43000000	0.0744616813814854
chr1	43000001	43500000	-0.0591805348454907
chr1	43500001	44000000	0.0549664080359014
chr1	44000001	44500000	0.0169761386504455
chr1	44500001	45000000	-0.0118815980236983
chr1	45000001	45500000	0.147364612869821
chr1	45500001	46000000	0.0301793685804107
chr1	46000001	46500000	-0.0113071007661257
chr1	46500001	47000000	-0.0951012141129143
chr1	47000001	47500000	-0.0858463476874773
chr1	47500001	48000000	-0.0122487259751912
chr1	48000001	48500000	-0.0402733993711475
chr1	48500001	49000000	0.0476640892617182
chr1	49000001	49500000	-0.0580535326969717
chr1	49500001	50000000	-0.00456725902760939
chr1	50000001	50500000	-0.0591185448792428
chr1	50500001	51000000	-0.0434315694412331
chr1	51000001	51500000	-0.00605740671046248
chr1	51500001	52000000	0.0405285565974562
chr1	52000001	52500000	-0.0762480659911542
chr1	52500001	53000000	-0.0440209460454407
chr1	53000001	53500000	-0.0146473022089513
chr1	53500001	54000000	-0.0430452582065352
chr1	54000001	54500000	-0.0889307857183946
chr1	54500001	55000000	-0.00213195254851863
chr1	55000001	55500000	0.00405894407022179
chr1	55500001	56000000	-0.0626440860337606
chr1	56000001	56500000	0.119358656897484
chr1	56500001	57000000	-0.0595140136692381
chr1	57000001	57500000	-0.0464081076831147
chr1	57500001	58000000	0.03464934248157
chr1	58000001	58500000	0.0872221604497117
chr1	58500001	59000000	-0.0143759119011034
chr1	59000001	59500000	-0.0217034096640995
chr1	59500001	60000000	0.0292289706296251
chr1	60000001	60500000	-0.0778937966876791
chr1	60500001	61000000	-0.026465372994183
chr1	61000001	61500000	-0.0993272600650626
chr1	61500001	62000000	-0.00597194541735082
chr1	62000001	62500000	-0.0788229925699429
chr1	62500001	63000000	-0.0401728659855049
chr1	63000001	63500000	0.0286355455841084
chr1	63500001	64000000	0.0617584830180138
chr1	64000001	64500000	0.0424073520029921
chr1	64500001	65000000	0.00875425616106085
chr1	65000001	65500000	0.00202290110668252
chr1	65500001	66000000	-0.0484203004998546
chr1	66000001	66500000	0.0127856958513724
chr1	66500001	67000000	0.00277764942622902
chr1	67000001	67500000	-0.0401631882046562
chr1	67500001	68000000	0.0434804716221352
chr1	68000001	68500000	-0.070144025378415
chr1	68500001	69000000	0.0484605080086787
chr1	69000001	69500000	-0.0569258155292471
chr1	69500001	70000000	-0.0489716043576602
chr1	70000001	70500000	-0.0569629210103142
chr1	70500001	71000000	-0.0357525664825666
chr1	71000001	71500000	-0.033399633157001
chr1	71500001	72000000	-0.00625742211039235
chr1	72000001	72500000	-0.116683811420693
chr1	72500001	73000000	0.00849151317928366
chr1	73000001	73500000	-0.0549603213722764
chr1	73500001	74000000	-0.0475643460203304
chr1	74000001	74500000	0.00434722311466281
chr1	74500001	75000000	-0.0449370177810991
chr1	75000001	75500000	-0.0360333360662595
chr1	75500001	76000000	-0.043907314540666
chr1	76000001	76500000	0.0213289201923783
chr1	76500001	77000000	-0.0614746212690725
chr1	77000001	77500000	0.0199218933758332
chr1	77500001	78000000	-0.076745042476076
chr1	78000001	78500000	-0.0923173930248494
chr1	78500001	79000000	-0.0502455729867679
chr1	79000001	79500000	0.0032963900054768
chr1	79500001	80000000	-0.0917918370564976
chr1	80000001	80500000	-0.0499909390874066
chr1	80500001	81000000	-0.0296618399034588
chr1	81000001	81500000	-0.0235337369244712
