chr	start	end	log2_TNratio_corrected
chr1	1000001	1500000	NA
chr1	1500001	2000000	0.159082576834055
chr1	2000001	2500000	0.245159585955412
chr1	2500001	3000000	NA
chr1	3000001	3500000	0.12325927025185
chr1	3500001	4000000	0.351116646609776
chr1	4000001	4500000	0.225471174562384
chr1	4500001	5000000	0.28550086919166
chr1	5000001	5500000	0.354850543199785
chr1	5500001	6000000	0.353189642045189
chr1	6000001	6500000	0.24131140146302
chr1	6500001	7000000	0.207028880082495
chr1	7000001	7500000	0.275807007700216
chr1	7500001	8000000	0.297513708523011
chr1	8000001	8500000	0.185967116320175
chr1	8500001	9000000	0.21077709723032
chr1	9000001	9500000	0.301098506848389
chr1	9500001	10000000	0.347700473882538
chr1	10000001	10500000	0.330408196809391
chr1	10500001	11000000	0.230273115497392
chr1	11000001	11500000	0.259869286786417
chr1	11500001	12000000	0.234340885224324
chr1	12000001	12500000	0.261847626563425
chr1	13500001	14000000	0.17174334497226
chr1	14000001	14500000	0.156665447996774
chr1	14500001	15000000	0.0462474009883527
chr1	15000001	15500000	0.0671923109864096
chr1	15500001	16000000	-0.00211669361757168
chr1	16000001	16500000	0.0906169840791319
chr1	17000001	17500000	0.133977516808585
chr1	17500001	18000000	0.0146988161746726
chr1	18000001	18500000	0.077782135538677
chr1	18500001	19000000	0.0499532170512292
chr1	19000001	19500000	0.08196135095888
chr1	19500001	20000000	-0.0349395873703277
chr1	20000001	20500000	0.00973439103613666
chr1	20500001	21000000	0.115248405292257
chr1	21000001	21500000	0.0850538381661671
chr1	21500001	22000000	0.0993580331853434
chr1	22000001	22500000	0.0583525660493402
chr1	22500001	23000000	0.0152046277553463
chr1	23000001	23500000	0.118316606524931
chr1	23500001	24000000	0.220176206752717
chr1	24000001	24500000	0.0984757521126216
chr1	24500001	25000000	0.0215669969401812
chr1	25000001	25500000	0.0606944460996612
chr1	25500001	26000000	0.133034485972144
chr1	26000001	26500000	0.223728803123352
chr1	26500001	27000000	0.200895367025672
chr1	27000001	27500000	0.189847048459432
chr1	27500001	28000000	0.169350817151128
chr1	28000001	28500000	0.0708600678562782
chr1	28500001	29000000	0.0710310872256731
chr1	29000001	29500000	0.0584411125696444
chr1	29500001	30000000	NA
chr1	30000001	30500000	-0.00467894060758436
chr1	30500001	31000000	0.0785687400082989
chr1	31000001	31500000	0.0353689970321067
chr1	31500001	32000000	0.148547382199401
chr1	32000001	32500000	0.0109716652826072
chr1	32500001	33000000	0.00616872472349077
chr1	33000001	33500000	0.101672990682406
chr1	33500001	34000000	0.0360705855135399
chr1	34000001	34500000	0.0641557379679862
chr1	34500001	35000000	0.0928786688561401
chr1	35000001	35500000	0.11585311724971
chr1	35500001	36000000	0.164284002333745
chr1	36000001	36500000	0.164265965288441
chr1	36500001	37000000	0.0625612539169007
chr1	37000001	37500000	0.148957994813516
chr1	37500001	38000000	0.127991991267289
chr1	38000001	38500000	0.11672278889557
chr1	38500001	39000000	0.11184525161091
chr1	39000001	39500000	0.0798760141601749
chr1	39500001	40000000	0.0442950385719589
chr1	40000001	40500000	0.224654165233742
chr1	40500001	41000000	0.144162720821705
chr1	41000001	41500000	0.105055937881766
chr1	41500001	42000000	0.127526120895305
